Snapshot Date,Date,Tank,Consumed (L)
09/04/2026,01/04/2026,Tank 1,15217
09/04/2026,02/04/2026,Tank 1,15391
09/04/2026,03/04/2026,Tank 1,0
09/04/2026,04/04/2026,Tank 1,0
09/04/2026,05/04/2026,Tank 1,8063
09/04/2026,06/04/2026,Tank 1,0
09/04/2026,07/04/2026,Tank 1,9745
09/04/2026,08/04/2026,Tank 1,15025
09/04/2026,09/04/2026,Tank 1,0
09/04/2026,10/04/2026,Tank 1,3498
09/04/2026,01/04/2026,Tank 2,13952
09/04/2026,02/04/2026,Tank 2,9097
09/04/2026,03/04/2026,Tank 2,0
09/04/2026,04/04/2026,Tank 2,0
09/04/2026,05/04/2026,Tank 2,7143
09/04/2026,06/04/2026,Tank 2,0
09/04/2026,07/04/2026,Tank 2,7731
09/04/2026,08/04/2026,Tank 2,12400
09/04/2026,09/04/2026,Tank 2,0
09/04/2026,10/04/2026,Tank 2,3159
