Snapshot Date,Tank,Day,September 2026 (L),August 2026 (L),Difference (L)
03/09/2026,Tank 1,1,0,1753,-1753
03/09/2026,Tank 1,2,36484,13367,23117
03/09/2026,Tank 1,3,22727,0,22727
03/09/2026,Tank 1,4,0,3669,-3669
03/09/2026,Tank 1,5,0,7167,-7167
03/09/2026,Tank 1,6,0,13801,-13801
03/09/2026,Tank 1,7,0,0,0
03/09/2026,Tank 1,8,0,10517,-10517
03/09/2026,Tank 1,9,0,21954,-21954
03/09/2026,Tank 1,10,0,13609,-13609
03/09/2026,Tank 1,11,0,0,0
03/09/2026,Tank 1,12,0,23763,-23763
03/09/2026,Tank 1,13,0,13049,-13049
03/09/2026,Tank 1,14,0,0,0
03/09/2026,Tank 1,15,0,19229,-19229
03/09/2026,Tank 1,16,0,15442,-15442
03/09/2026,Tank 1,17,0,0,0
03/09/2026,Tank 1,18,0,17097,-17097
03/09/2026,Tank 1,19,0,14428,-14428
03/09/2026,Tank 1,20,0,0,0
03/09/2026,Tank 1,21,0,11585,-11585
03/09/2026,Tank 1,22,0,9587,-9587
03/09/2026,Tank 1,23,0,0,0
03/09/2026,Tank 1,24,0,12176,-12176
03/09/2026,Tank 1,25,0,19313,-19313
03/09/2026,Tank 1,26,0,25228,-25228
03/09/2026,Tank 1,27,0,0,0
03/09/2026,Tank 1,28,0,26684,-26684
03/09/2026,Tank 1,29,0,0,0
03/09/2026,Tank 1,30,0,20165,-20165
03/09/2026,Tank 1,31,0,21615,-21615
03/09/2026,Tank 2,1,0,2078,-2078
03/09/2026,Tank 2,2,7922,12645,-4723
03/09/2026,Tank 2,3,10058,0,10058
03/09/2026,Tank 2,4,47,2618,-2571
03/09/2026,Tank 2,5,0,4186,-4186
03/09/2026,Tank 2,6,0,7332,-7332
03/09/2026,Tank 2,7,0,0,0
03/09/2026,Tank 2,8,0,8073,-8073
03/09/2026,Tank 2,9,0,11709,-11709
03/09/2026,Tank 2,10,0,9701,-9701
03/09/2026,Tank 2,11,0,0,0
03/09/2026,Tank 2,12,0,14586,-14586
03/09/2026,Tank 2,13,0,12656,-12656
03/09/2026,Tank 2,14,0,0,0
03/09/2026,Tank 2,15,0,16529,-16529
03/09/2026,Tank 2,16,0,10336,-10336
03/09/2026,Tank 2,17,0,0,0
03/09/2026,Tank 2,18,0,10564,-10564
03/09/2026,Tank 2,19,0,12344,-12344
03/09/2026,Tank 2,20,0,0,0
03/09/2026,Tank 2,21,0,9789,-9789
03/09/2026,Tank 2,22,0,6965,-6965
03/09/2026,Tank 2,23,0,0,0
03/09/2026,Tank 2,24,0,10403,-10403
03/09/2026,Tank 2,25,0,12400,-12400
03/09/2026,Tank 2,26,0,13615,-13615
03/09/2026,Tank 2,27,0,0,0
03/09/2026,Tank 2,28,0,15596,-15596
03/09/2026,Tank 2,29,0,0,0
03/09/2026,Tank 2,30,0,3690,-3690
03/09/2026,Tank 2,31,0,6651,-6651
