Date,Tank,Volume (L),Volume %,Capacity (L),Status,Last Updated
24/03/2026,Fuelfix 11751 Tank 1,66188.0,60.0,110000.0,Ok,2026-03-24 14:02:47
24/03/2026,Fuelfix 11751 Tank 2,85813.0,78.0,110000.0,Ok,2026-03-24 14:07:07
25/03/2026,Fuelfix 11751 Tank 1,44492.0,40.0,110000.0,Ok,2026-03-26 05:25:08
25/03/2026,Fuelfix 11751 Tank 2,65617.0,59.0,110000.0,Ok,2026-03-26 05:25:08
26/03/2026,Fuelfix 11751 Tank 1,81744.0,74.0,110000.0,Ok,2026-03-27 05:11:39
26/03/2026,Fuelfix 11751 Tank 2,90694.0,82.0,110000.0,Ok,2026-03-27 05:11:39
27/03/2026,Fuelfix 11751 Tank 1,71425.0,64.0,110000.0,Ok,2026-03-28 05:27:56
27/03/2026,Fuelfix 11751 Tank 2,80626.0,73.0,110000.0,Ok,2026-03-28 05:27:56
28/03/2026,Fuelfix 11751 Tank 1,63738.0,57.0,110000.0,Ok,2026-03-29 04:36:39
28/03/2026,Fuelfix 11751 Tank 2,74587.0,67.0,110000.0,Ok,2026-03-29 04:36:39
29/03/2026,Fuelfix 11751 Tank 1,53835.0,48.0,110000.0,Ok,2026-03-30 05:33:13
29/03/2026,Fuelfix 11751 Tank 2,65863.0,59.0,110000.0,Ok,2026-03-30 05:24:58
30/03/2026,Fuelfix 11751 Tank 1,38836.0,35.0,110000.0,Ok,2026-03-31 02:47:15
30/03/2026,Fuelfix 11751 Tank 2,65023.0,59.0,110000.0,Ok,2026-03-31 02:47:15
